student_id,timestamp,event_type,event_detail,grade
S001,2024-01-15 09:00:00,login,morning_session,
S001,2024-01-15 09:15:00,quiz_attempt,Math_Quiz_1,85
S001,2024-01-15 10:30:00,forum_post,Discussion_Topic_A,
S001,2024-01-15 14:00:00,assignment_submission,Essay_Assignment_1,78
S001,2024-01-16 08:45:00,login,morning_session,
S001,2024-01-16 09:00:00,video_watch,Lecture_Video_2,
S001,2024-01-16 11:00:00,quiz_attempt,Science_Quiz_1,92
S002,2024-01-15 10:00:00,login,mid_morning_session,
S002,2024-01-15 10:30:00,quiz_attempt,Math_Quiz_1,65
S002,2024-01-15 15:00:00,assignment_submission,Essay_Assignment_1,55
S002,2024-01-16 13:00:00,login,afternoon_session,
S002,2024-01-16 13:30:00,forum_post,Discussion_Topic_A,
S002,2024-01-16 14:00:00,quiz_attempt,Science_Quiz_1,70
S003,2024-01-15 08:00:00,login,early_morning_session,
S003,2024-01-15 08:30:00,video_watch,Lecture_Video_1,
S003,2024-01-15 09:00:00,forum_post,Discussion_Topic_A,
S003,2024-01-15 10:00:00,quiz_attempt,Math_Quiz_1,95
S003,2024-01-15 11:00:00,assignment_submission,Essay_Assignment_1,88
S003,2024-01-16 08:15:00,login,early_morning_session,
S003,2024-01-16 08:45:00,video_watch,Lecture_Video_2,
S003,2024-01-16 09:30:00,forum_post,Discussion_Topic_B,
S003,2024-01-16 10:30:00,quiz_attempt,Science_Quiz_1,98
S004,2024-01-15 11:00:00,login,late_morning_session,
S004,2024-01-15 11:30:00,quiz_attempt,Math_Quiz_1,45
S004,2024-01-15 16:00:00,assignment_submission,Essay_Assignment_1,50
S004,2024-01-16 15:00:00,login,afternoon_session,
S004,2024-01-16 15:30:00,quiz_attempt,Science_Quiz_1,48
S005,2024-01-15 09:30:00,login,morning_session,
S005,2024-01-15 10:00:00,video_watch,Lecture_Video_1,
S005,2024-01-15 10:30:00,forum_post,Discussion_Topic_A,
S005,2024-01-15 11:00:00,quiz_attempt,Math_Quiz_1,75
S005,2024-01-15 14:30:00,assignment_submission,Essay_Assignment_1,72
S005,2024-01-16 09:00:00,login,morning_session,
S005,2024-01-16 09:30:00,video_watch,Lecture_Video_2,
S005,2024-01-16 10:00:00,forum_post,Discussion_Topic_B,
S005,2024-01-16 11:30:00,quiz_attempt,Science_Quiz_1,80
S006,2024-01-15 08:30:00,login,early_morning_session,
S006,2024-01-15 09:00:00,video_watch,Lecture_Video_1,
S006,2024-01-15 09:30:00,quiz_attempt,Math_Quiz_1,90
S006,2024-01-15 13:00:00,forum_post,Discussion_Topic_A,
S006,2024-01-15 14:00:00,assignment_submission,Essay_Assignment_1,85
S006,2024-01-16 08:30:00,login,early_morning_session,
S006,2024-01-16 09:15:00,video_watch,Lecture_Video_2,
S006,2024-01-16 10:00:00,forum_post,Discussion_Topic_B,
S006,2024-01-16 11:00:00,quiz_attempt,Science_Quiz_1,94
